total_hours,sessions_per_week,avg_focus_score,days_until_exam,subject_difficulty,readiness_score
45.57027414283613,13,1.7337391594646552,72,1,43.7310615765069
12.897014982342343,11,4.46470458309974,24,3,56.34895131798653
3.449554821200491,2,3.887995089067299,30,2,31.255315035266193
1.8408903211463712,9,2.1649165607921677,59,3,32.718130686259286
17.599769417592977,12,4.895022075365837,15,2,53.82370085141689
46.512976960792365,4,3.36965827544817,3,1,48.56190573914014
73.29783737627116,5,2.801997007878172,18,4,58.332535641233946
46.86456380225002,10,1.3906884560255355,84,4,44.984974105643076
53.37814675501256,7,3.4399866311304836,8,3,55.62776626031655
22.686094446779418,4,2.246844304357644,6,2,27.86990656452821
66.05852324185028,6,1.1252531698222343,18,2,42.63860306609553
111.27240502946151,8,3.2817758976215976,62,4,59.018732660423325
101.49952799270001,13,2.0853961270955836,53,4,57.71930513268672
65.58083389583157,9,2.1850940228163296,45,1,58.12783670894557
2.860732402202078,9,4.08897907718663,8,4,41.550315624814175
73.10923699894036,10,2.4338629141770904,41,4,67.1233516489897
103.70930767919563,8,2.7978026965528136,33,4,72.86925054670655
80.2447604374821,12,3.5502298854208525,35,1,72.69253898009434
46.56829809570099,14,4.395655297064335,5,2,62.41270527725289
5.81159715507333,10,1.1016765069763808,77,3,18.537467248167005
4.7400730967213764,7,2.901480892728447,4,2,35.019767917371766
65.2410898648991,13,1.9151926619664899,32,3,55.585181171822256
35.480422896738396,6,4.52187135606103,42,1,48.10942011920998
55.32761388746632,12,1.7462802355441434,30,2,55.73476506852754
65.18172678796243,10,1.4883518188026934,89,3,51.364457787621404
78.07512434442212,9,4.272059063689973,3,3,80.0972431707391
20.594046524010068,11,2.669644012595116,37,1,43.15091561864054
113.20625476558978,6,1.875056878292281,88,1,53.71106338928325
49.05650435590686,14,4.887128330883843,52,4,60.20623370115283
36.804518868195586,1,4.990961940195767,59,1,33.44302852937419
117.2171797440857,12,1.2059150049999574,1,3,70.40266220326443
54.2861965841979,6,1.9682210860460017,68,3,53.33328306549484
91.63273422411739,11,1.9686397531097035,38,4,67.43313594216347
48.460108650901816,1,1.6028701758617179,59,2,31.976575101648397
83.80172400811495,3,3.3635717727529673,59,4,54.944453264157
27.952997248554617,7,1.6974657160199658,33,4,31.27199833752779
47.02150620976395,2,4.350840423629312,11,4,41.50398561836144
65.43230888548034,10,2.0317665108606224,16,2,68.45137303631537
117.87803285620284,4,3.118602313424026,2,1,69.551601002716
41.34454513479538,3,3.801431319891085,80,3,40.8982233169597
